,vector_size,window_size,numer_of_epochs,accuracy
0,100.0,5.0,5.0,48.687124327744385
1,100.0,5.0,10.0,90.74659917747549
2,100.0,5.0,15.0,92.628914900348
3,100.0,7.0,5.0,52.182853527364756
4,100.0,7.0,10.0,89.89243910155014
5,100.0,7.0,15.0,91.99620373299588
6,100.0,9.0,5.0,54.903511546978805
7,100.0,9.0,10.0,88.3897500790889
8,100.0,9.0,15.0,91.17367921543816
9,100.0,11.0,5.0,55.884213856374565
10,100.0,11.0,10.0,87.8044922492882
11,100.0,11.0,15.0,91.11040809870295
12,100.0,13.0,5.0,56.596013919645685
13,100.0,13.0,10.0,86.76051882315723
14,100.0,13.0,15.0,90.38279025624803
15,100.0,15.0,5.0,56.83328060740272
16,100.0,15.0,10.0,85.81145207212907
17,100.0,15.0,15.0,88.84846567541918
18,100.0,17.0,5.0,56.501107244542865
19,100.0,17.0,10.0,85.06801645049035
20,100.0,17.0,15.0,89.10155014236001
21,100.0,19.0,5.0,57.9247073710851
22,100.0,19.0,10.0,84.57766529579247
23,100.0,19.0,15.0,89.33881683011705
24,150.0,5.0,5.0,46.09300854160076
25,150.0,5.0,10.0,91.03131920278393
26,150.0,5.0,15.0,92.61309712116419
27,150.0,7.0,5.0,49.33565327428029
28,150.0,7.0,10.0,89.89243910155014
29,150.0,7.0,15.0,91.93293261626067
30,150.0,9.0,5.0,52.30939576083518
31,150.0,9.0,10.0,88.4372034166403
32,150.0,9.0,15.0,91.11040809870295
33,150.0,11.0,5.0,54.00189813350206
34,150.0,11.0,10.0,87.47231888642834
35,150.0,11.0,15.0,90.99968364441632
36,150.0,13.0,5.0,55.12496045555204
37,150.0,13.0,10.0,86.93451439417906
38,150.0,13.0,15.0,90.39860803543182
39,150.0,15.0,5.0,56.16893388168301
40,150.0,15.0,10.0,86.09617209743752
41,150.0,15.0,15.0,90.08225245175578
42,150.0,17.0,5.0,55.678582726985134
43,150.0,17.0,10.0,84.86238532110092
44,150.0,17.0,15.0,89.33881683011705
45,150.0,19.0,5.0,56.801645049035116
46,150.0,19.0,10.0,85.24201202151218
47,150.0,19.0,15.0,89.24391015501423
48,200.0,5.0,5.0,43.72034166403037
49,200.0,5.0,10.0,91.03131920278393
50,200.0,5.0,15.0,92.47073710850997
51,200.0,7.0,5.0,48.60803543182537
52,200.0,7.0,10.0,89.59190129705789
53,200.0,7.0,15.0,91.79057260360645
54,200.0,9.0,5.0,51.07560898449858
55,200.0,9.0,10.0,88.16830117051566
56,200.0,9.0,15.0,91.69566592850364
57,200.0,11.0,5.0,51.28124011388801
58,200.0,11.0,10.0,86.90287883581145
59,200.0,11.0,15.0,90.74659917747549
60,200.0,13.0,5.0,53.6539069914584
61,200.0,13.0,10.0,86.23853211009174
62,200.0,13.0,15.0,90.36697247706422
63,200.0,15.0,5.0,54.8402404302436
64,200.0,15.0,10.0,85.22619424232838
65,200.0,15.0,15.0,89.73426130971211
66,200.0,17.0,5.0,55.172413793103445
67,200.0,17.0,10.0,84.87820310028472
68,200.0,17.0,15.0,89.48117684277128
69,200.0,19.0,5.0,55.69440050616893
70,200.0,19.0,10.0,84.59348307497628
71,200.0,19.0,15.0,89.27554571338185
72,250.0,5.0,5.0,41.82220816197406
73,250.0,5.0,10.0,90.50933248971845
74,250.0,5.0,15.0,92.28092375830434
75,250.0,7.0,5.0,45.349572919962036
76,250.0,7.0,10.0,89.44954128440367
77,250.0,7.0,15.0,92.17019930401771
78,250.0,9.0,5.0,48.56058209427396
79,250.0,9.0,10.0,88.08921227459665
80,250.0,9.0,15.0,90.99968364441632
81,250.0,11.0,5.0,51.202151217968996
82,250.0,11.0,10.0,86.80797216070863
83,250.0,11.0,15.0,90.73078139829168
